ID,Pays,Type_Culture,Superficie_Ha,Température_Moyenne,Précipitations,Humidité_Sol,pH_Sol,Engrais_Appliqué,Irrigation,Densité_Semis,Temps_Maturation_Jours,Météo_Extrême,Coût_Production_Ha,Main_d'Oeuvre,Disponibilité_Machines,Rendement_Tonnes_Ha,Classe_Optimisation
22,Bénin,Manioc,38.29442888578124,30.02177257987544,961.479557689362,15.66432229585856,4.791103910917654,61.9876861064276,278.7081768900085,13.21007953887423,125,Aucune,1293.358564706547,29,Faible,3.179839105024743,Non Optimisé
23,Sénégal,Coton,44.87110172730746,34.87531727115428,452.566853034092,20.047049075133096,6.590607827355116,169.51517862685475,112.68446539120374,117.58226402833344,83,Sécheresse,1204.2750817761137,21,Élevée,1.8660741929300364,Non Optimisé
24,Burkina Faso,Manioc,2.170534343569165,39.29205955013034,754.4433394219151,51.40384810979524,8.353278936163651,115.45836953337069,327.6249628454688,139.92442157163836,125,Vents violents,1818.4847956791407,8,Moyenne,4.83473304814369,Optimisé
25,Mali,Manioc,43.78827713986382,37.8211596274441,1276.207245302293,38.18937595464509,5.308870636341727,140.5434623051344,226.1388271143101,23.803832426999787,164,Sécheresse,1781.668121804334,13,Faible,1.8789024958277072,Non Optimisé
26,Bénin,Cacao,39.71516097690182,38.28996875921686,1034.7608525474654,35.79493270101388,6.67558093314854,93.95212243531915,35.76183644929559,81.24790387898346,135,Inondation,1837.7993918978689,41,Moyenne,5.521191805498213,Optimisé
27,Sénégal,Riz,26.49219193718764,38.22434940659596,1083.0159354348486,58.441478238810575,6.138426136886286,160.89575428923214,264.6898261427709,101.1322437239819,81,Sécheresse,1203.5280592675858,47,Moyenne,1.8263839233826111,Non Optimisé
28,Mali,Riz,8.394549628758748,24.83063379795689,1422.4735192115925,28.395151389054732,6.994823556150491,125.12211717923483,316.7302009015991,105.51628633113394,128,Aucune,439.71325126940206,39,Faible,3.446289259347891,Moyennement Optimisé
29,Ghana,Mil,27.477188437809826,38.92821068521565,731.6489585914647,12.047387702356913,6.24480687094633,178.11061567438156,278.8232368369873,16.783223887400382,175,Aucune,359.88931716362947,31,Moyenne,2.521636006214909,Moyennement Optimisé
30,Bénin,Sorgho,10.100196560845774,24.447289608760283,1497.4129358632183,22.75822704843688,8.453966699306502,70.00763168956965,127.51478020597555,130.22795380886404,139,Aucune,1563.8074409125277,2,Moyenne,1.780945322479295,Non Optimisé
31,Burkina Faso,Coton,48.265375314330974,37.28430573262003,696.6578046740287,24.23682577732567,7.617232037610254,169.44540375693944,13.955417636101586,27.87546619985003,130,Aucune,896.6298607970689,16,Moyenne,5.750742368560688,Optimisé
32,Ghana,Maïs,35.586214415112174,31.62168388031663,437.4893190932325,35.621268226633966,7.591886314611084,157.71493485818382,209.42029076371227,76.60290939896191,102,Vents violents,571.0218400987931,27,Élevée,4.116598274687575,Optimisé
33,Togo,Manioc,30.013687274757007,36.7738726454027,1249.7366578749654,10.358702398631694,5.967688568192148,73.9720507042264,329.7172906093862,106.39067905967362,67,Inondation,1369.126133670858,17,Moyenne,2.3502946192765006,Non Optimisé
34,Bénin,Mil,40.76149903777349,39.64451986096739,862.9622085647467,59.41299576968882,7.56088263193555,175.14128282637785,34.94748755211574,152.6432532811605,110,Sécheresse,1572.3445082837748,44,Élevée,3.926139343475718,Non Optimisé
35,Mali,Manioc,26.856137090900997,37.51405544381803,648.4338433336408,13.096182138400572,6.587098246516842,118.57968011842776,458.5583121206518,79.42108092522022,143,Sécheresse,1827.319911510268,12,Élevée,0.7950262643244802,Non Optimisé
36,Ghana,Sorgho,3.482861660163915,36.330075208195694,520.2213330818822,21.611013224263257,7.929129984217277,74.38338614355602,171.16659815841544,166.03150681161995,169,Vents violents,182.99240879871985,24,Moyenne,2.1230548556616284,Moyennement Optimisé
37,Bénin,Riz,13.32196404106881,24.1301011318336,1267.939583454035,43.62246314620152,7.628761833072553,55.1274901114672,172.96779675132217,156.88160791197424,150,Sécheresse,302.32317605199466,32,Faible,1.7015144345355706,Non Optimisé
38,Mali,Cacao,49.0935338120619,37.1981331040479,933.197420363768,58.87849459070269,7.180574915589314,17.535211351379274,166.6337837523053,86.99238006780102,140,Vents violents,1391.4044133434336,22,Faible,2.418924273596794,Non Optimisé
39,Bénin,Sorgho,42.61524280941202,23.315143859244294,1011.7366861807508,35.59197228221487,5.464615145388164,18.496903813817436,449.8924074755153,176.58609542721587,141,Aucune,382.6290417946458,9,Moyenne,3.1079807739096004,Moyennement Optimisé
40,Bénin,Sorgho,46.40851894965209,30.254361082523918,800.9473171195709,27.089103136784694,6.794883218447296,156.85107010758114,472.5109842371186,192.8133158430795,140,Aucune,343.1232207769297,32,Faible,1.7573345120170027,Non Optimisé
41,Côte d'Ivoire,Coton,5.342635061869753,30.046901307382463,478.8097613370632,18.12367636092435,8.072318751279889,77.0981218216307,445.4411887739964,61.44710196892134,135,Aucune,450.2681698171554,18,Élevée,3.487146012177842,Moyennement Optimisé
42,Côte d'Ivoire,Coton,12.775919293873445,30.374822790303732,638.8575365831649,55.16747633458941,6.9958802364701125,104.65505300321078,394.2764025623824,166.1155257825508,90,Aucune,668.2269769409743,23,Élevée,4.991523341917779,Optimisé
43,Ghana,Sorgho,3.6304020576873817,34.46292232726614,367.3173076863243,12.503858546631191,7.8271996535447315,166.95982392504632,130.1792808967266,64.30440722361797,107,Aucune,1783.2615291984548,38,Élevée,2.551303007083584,Non Optimisé
44,Nigeria,Mil,41.19713600530809,27.920672626390427,643.546197619755,13.498598512102872,6.634570924255224,130.94543297928604,370.3206909641276,140.32350335864243,157,Sécheresse,1625.2993878660825,16,Moyenne,5.581944114074287,Optimisé
45,Nigeria,Sorgho,9.108068075652236,29.132914620602985,1386.5097359611452,13.18910226622602,7.871570085221267,188.4579802627408,145.83994815005082,136.8829242838031,106,Sécheresse,736.1157584004275,28,Moyenne,3.537818055712213,Moyennement Optimisé
46,Mali,Sorgho,20.79761042362341,33.180415310585175,947.32205668084,33.32198626100326,6.834234633635015,104.6508371633743,188.3178905731197,160.21765513673074,115,Aucune,1288.8133093653496,16,Faible,0.8208043593745773,Non Optimisé
47,Burkina Faso,Coton,13.840349290113323,33.64739613207408,260.062698519321,56.55930581973475,7.904993501441207,22.22642463952173,71.83805857948484,51.31570482771821,126,Sécheresse,1408.2341211164314,3,Élevée,2.142086529381845,Non Optimisé
48,Bénin,Sorgho,46.552694549913326,28.750644053298423,1193.3950854781583,37.789247391550255,6.391325115829503,69.4382018797156,263.77600892685047,187.48844832573235,65,Vents violents,1975.207525607542,2,Moyenne,3.2004368772339737,Non Optimisé
49,Sénégal,Maïs,30.61481987775093,21.04287835709597,1197.958635429035,27.73333462042313,7.165950529882739,27.54160608166229,403.3201539402326,91.58648940558771,123,Vents violents,254.0440196313413,38,Moyenne,2.117979442920348,Moyennement Optimisé
50,Ghana,Mil,40.07546277784999,25.18172608828232,1187.340090104511,21.926482655695537,4.729419058934456,149.5086843419238,339.16599095592574,10.439433208968484,131,Aucune,782.961394921122,28,Faible,2.6292718681012017,Moyennement Optimisé
51,Burkina Faso,Mil,30.305985428608206,38.88030528200912,1001.4940036523578,35.72418787407972,6.251283195862657,93.26649554162132,189.2274765420645,156.88668992072283,166,Vents violents,1897.4380522718984,46,Moyenne,4.376678325344001,Optimisé
52,Bénin,Maïs,30.821261434438355,38.54819413124808,240.9651434193379,32.07565367178195,5.0575223615112455,11.474259047192792,334.785782921828,187.0112236303353,75,Vents violents,1111.070931070847,38,Moyenne,4.892433604880344,Optimisé
53,Mali,Coton,19.45420224791784,32.992972650374504,697.4321720672215,14.672610036637758,5.421065684405615,3.309219091943194,316.88396994056035,193.9884146020076,139,Vents violents,1588.4228959600437,6,Faible,1.8998130708330805,Non Optimisé
54,Bénin,Mil,12.330515383548628,23.704742386585785,622.8591180291423,10.314886327182018,6.6652576441485465,11.09699986593695,270.33268672594124,78.92601510386848,88,Sécheresse,537.378853386333,48,Moyenne,4.192260531831051,Optimisé
55,Mali,Coton,17.745154852908996,21.914177852152324,227.477191536184,39.75172191926403,6.662668199777125,134.4419262830307,133.9336779121911,13.87239361524909,143,Inondation,641.8928811511187,20,Moyenne,1.2555602970944206,Non Optimisé
56,Ghana,Manioc,15.0955755553875,38.99052054042745,311.36472368731586,52.919335899003,7.697480100744995,40.21026543076864,14.396904548620135,74.97177423721692,75,Sécheresse,1799.4889854767384,30,Moyenne,1.8528930627517213,Non Optimisé
57,Bénin,Mil,34.71569937457259,37.4633560553098,746.5522303663554,40.44188803211782,6.400211434643987,155.53651434622975,19.0621219932135,177.8938559923671,69,Aucune,1378.5950886659543,32,Faible,1.1876073295383236,Non Optimisé
58,Burkina Faso,Mil,21.416928764037973,27.95855648891117,1344.9924576697683,26.317707676044854,8.277269870616077,102.61015358362064,475.8626110488199,170.30360102902696,82,Inondation,1686.758944746991,6,Moyenne,4.6340518268648365,Optimisé
59,Nigeria,Sorgho,27.733109437555896,32.59204634911297,1450.2631997382823,17.660945636842232,5.83982459159931,116.1265762764734,433.7943829517677,82.0530283564627,92,Aucune,506.763271558683,48,Moyenne,1.375851162965755,Non Optimisé
60,Ghana,Maïs,38.66160388512856,38.28303846232201,1166.4533684987496,46.95254057855777,6.336090488908779,33.92693870544476,118.56024123693516,39.07548436772551,175,Vents violents,558.3501295678295,37,Faible,3.9813736590874247,Moyennement Optimisé
61,Côte d'Ivoire,Riz,13.694477333651609,22.763079492559186,493.3185311253752,45.10780370774913,7.581586797603345,175.53654926210928,97.19497409969092,132.49318390335247,153,Sécheresse,656.2454236993365,25,Élevée,4.852716027467748,Optimisé
62,Bénin,Cacao,21.47065644284077,32.72525030440492,1398.2377485822078,52.3453822900224,7.1284129927408895,94.29233185231712,151.57793259892577,136.16358752173204,142,Inondation,1668.0145148726149,9,Faible,4.215855159781388,Optimisé
63,Mali,Coton,26.21461653002776,38.38970915094453,1471.3744100322556,59.1433653797125,5.167217568182316,82.45178008231804,286.1381166906593,129.83415987364114,68,Inondation,512.9690273133772,44,Faible,3.285741075395461,Moyennement Optimisé
64,Bénin,Coton,3.163455009129541,36.73048121812267,759.3207128252988,15.605678385669528,6.575967581482848,159.07156354451524,8.635802955137661,38.624931568789066,92,Aucune,1373.1823789960126,11,Faible,3.552961864363923,Non Optimisé
65,Côte d'Ivoire,Coton,8.033239433119912,25.74255627801329,878.4663617702951,23.22936049046869,4.803125229549352,6.503136530029852,446.0797684602194,166.62541132505876,148,Sécheresse,715.495458802497,38,Faible,3.842038519996976,Moyennement Optimisé
66,Togo,Sorgho,3.64377568244324,39.04094362092562,649.8047620267938,27.188655891879467,5.0972900005284085,103.62182874471024,387.300264920276,16.91818237618444,172,Vents violents,1259.8568079019096,22,Moyenne,3.09310067897266,Non Optimisé
67,Ghana,Manioc,37.736708789848336,24.06326188367928,1307.6613890177143,36.88525492049981,4.91830906522063,144.04353460403092,264.1820515168629,194.27755843499023,63,Sécheresse,913.9571917209812,48,Faible,3.2210814624200967,Moyennement Optimisé
68,Mali,Mil,15.345470230027408,24.17146798554672,586.9881475066744,12.661538533588832,4.8800979407921,159.07624929736468,432.81465008279145,181.31272549650575,160,Vents violents,591.7204638185473,33,Moyenne,4.520923122284966,Optimisé
69,Togo,Sorgho,21.418376775464115,21.93215910710485,341.3202919366352,23.787957883753904,5.085406057092804,31.111115736443207,274.25127333699066,198.8816806783828,99,Vents violents,1358.9776167047362,47,Élevée,3.369499589490045,Non Optimisé
70,Nigeria,Riz,33.780060126812025,22.36236839215326,792.8016094024695,49.70735550545114,8.06176609659088,78.09565962617665,44.33562252916556,123.87221545542964,143,Inondation,1418.9513157017095,30,Faible,3.463685189220876,Non Optimisé
71,Nigeria,Manioc,48.34024202516572,35.23306539477783,420.3915889585352,12.41832902617034,7.252305274837807,64.17098770633673,279.05238190131735,124.6812055169134,162,Sécheresse,1538.1889073064283,24,Élevée,4.068746794041332,Optimisé
72,Ghana,Mil,40.64675748081402,25.51726340999382,760.2397301682207,50.89380999752851,7.201976259818711,198.42197014523936,240.32187799649083,83.06192853075733,66,Aucune,1662.483793863085,16,Faible,4.221982749065242,Optimisé
73,Togo,Mil,3.361079967179807,37.3825977292151,961.0575724389709,19.23205771066798,8.083545588817842,147.02572398361474,347.14263493542967,31.450974514485573,98,Vents violents,612.1520816307878,11,Élevée,3.1680688689454164,Moyennement Optimisé
74,Nigeria,Coton,15.633829260703235,37.15210425978066,1243.3827953590578,25.253839176339063,7.291210424923992,85.10148562009252,173.05580562749628,153.4157479393277,129,Aucune,837.4248972412831,7,Élevée,1.7016499698941163,Non Optimisé
75,Sénégal,Riz,2.929321521410841,22.32963046365572,1099.582096305268,45.90377882092344,6.935516513594877,42.99523031060832,180.14962821631764,103.40824239632342,121,Inondation,1338.4667107129608,48,Moyenne,5.278596430429913,Optimisé
76,Burkina Faso,Cacao,3.552581658880319,30.647006879051588,1160.1223738231347,48.230245870327465,7.481200991330547,34.781432672570034,471.0073235537128,79.22209067861458,166,Aucune,1384.5256318183062,9,Faible,4.338555386724488,Optimisé
77,Bénin,Coton,6.809073804076319,34.789192346989346,967.6727536620658,20.540797846088005,7.291407005079502,198.967817493524,459.5385035601452,176.36454902603026,66,Sécheresse,1984.955241157872,17,Moyenne,1.80937079780815,Non Optimisé
78,Togo,Riz,16.393549581265365,33.65283721334478,305.7767472821898,30.2687419028617,6.903345748490852,116.66199529155136,450.28469464076994,10.369371666599292,65,Vents violents,494.1472637080964,49,Moyenne,1.4155644517761206,Non Optimisé
79,Mali,Riz,11.959209298456546,22.0734041542345,1344.0374365070766,22.094455135591296,4.930588863215771,144.8769503141923,207.43105449148055,100.91327393240644,61,Inondation,1202.3731803292972,12,Élevée,2.434968243171702,Non Optimisé
80,Bénin,Manioc,17.932647535170105,26.434889060500616,1107.5901979573723,35.66468363837238,4.7807704179317625,31.452682361332563,374.7674089676542,133.93777048296374,134,Vents violents,323.8829146461848,26,Faible,3.365759931136086,Moyennement Optimisé
81,Bénin,Cacao,41.189495152538434,32.23952789383965,1226.8565149470176,42.62008159592797,5.159538725189341,149.7330413249359,469.83200878027714,10.77141734815794,102,Sécheresse,338.5239089542477,9,Faible,5.78344311112182,Optimisé
82,Bénin,Coton,39.98538105713602,31.686730191820548,1423.207299577685,23.50375930919861,6.985208535578522,47.87208281666271,483.43817896956506,148.24602643917203,147,Vents violents,914.7517252252472,4,Élevée,5.728672641897197,Optimisé
83,Togo,Manioc,17.861574912167676,36.28053498635496,1458.5740465718368,33.107377924383904,6.587646392983485,152.3684354169376,121.33926776836444,41.54168176542275,129,Vents violents,1158.8474711678898,41,Élevée,2.829260534326428,Non Optimisé
84,Nigeria,Sorgho,33.1611515879813,21.121580648092078,1452.5366262579555,36.78978676043006,6.68627759700353,182.84297370607257,107.2746678380499,170.6385629310013,169,Aucune,494.01272462500935,15,Faible,1.867354785311061,Non Optimisé
85,Mali,Riz,18.946852071580206,29.607144508890883,550.463682007188,30.948684386451443,6.0424002315927,77.55589562670554,248.96127620717883,155.25746172703452,110,Inondation,205.7490923212616,24,Élevée,4.258704228354981,Optimisé
86,Côte d'Ivoire,Mil,19.60487272138448,36.978975137742864,1307.1091699435428,35.69591088324553,7.7916770807164495,180.6769458832404,434.7950777574119,36.55624332535864,173,Aucune,747.9725214761188,48,Élevée,2.8667102008987837,Moyennement Optimisé
87,Sénégal,Maïs,33.94825960948631,39.87317161940701,1446.2630895551113,17.199937115661506,7.468662674501763,92.84659260797096,264.1762088279419,119.06104107193693,111,Sécheresse,516.5495529045367,5,Élevée,0.601291964333982,Non Optimisé
88,Togo,Mil,19.523923435572154,22.569911296158928,1118.215156661226,12.024501629836555,4.7058371243587285,161.7657829503126,395.92895231920113,153.8933881322874,147,Inondation,268.52528760283826,27,Moyenne,1.026972409997536,Non Optimisé
89,Côte d'Ivoire,Riz,27.68835840677503,32.9181518420746,1130.6991555909724,13.158340983925312,5.301147138689899,90.87951506954144,237.2322873495357,15.569335705455243,125,Aucune,1668.0935885949546,14,Moyenne,2.6532875092595902,Non Optimisé
90,Burkina Faso,Mil,6.203685693028102,20.026625418962418,1349.4586895524285,58.641173750797385,6.682911545105891,28.758144765590465,375.5934135695824,113.53567874735816,113,Aucune,1211.152939917358,29,Faible,4.089819910789063,Optimisé
91,Ghana,Sorgho,27.17125387401883,26.99059566054855,573.812860963186,13.69668482658179,5.265158700162363,133.72908870924488,133.0303967968813,19.61688671781964,99,Vents violents,1472.4633794670858,11,Élevée,0.9695492910889094,Non Optimisé
92,Sénégal,Riz,37.22897322172688,28.895028194896256,449.4251000935161,29.301294470754357,5.064576733854146,65.15545131501945,412.1074942407207,127.71482186156464,74,Inondation,1547.0644902607278,37,Faible,5.307102466424544,Optimisé
93,Côte d'Ivoire,Coton,44.474392517909976,26.917303260937203,768.0489975312124,49.581953197138645,4.538119412238329,15.140350511614308,398.5678225611034,177.60484956218653,178,Vents violents,385.86172727975134,30,Élevée,3.922893063981266,Moyennement Optimisé
94,Bénin,Manioc,7.78930793972595,32.49018580790852,1434.8424051055229,52.53093788070505,8.431823944669592,130.327844406738,112.43250125049626,85.00839363152853,66,Inondation,611.5742280408359,17,Faible,1.8492317256178008,Non Optimisé
95,Togo,Coton,20.83018813385748,20.30759708664595,278.60840614056804,23.42357307326943,5.425332800515756,115.79970847162532,436.27020630409726,92.83721095341932,149,Inondation,205.4671930136351,43,Élevée,3.696595967382649,Moyennement Optimisé
96,Ghana,Maïs,24.56613402647167,38.16514074774244,775.2647252791595,41.99974946653885,6.1897600559347055,186.02226008622412,58.957077418461736,195.68039455681844,92,Vents violents,1788.310862408054,18,Faible,4.791914669553254,Optimisé
97,Nigeria,Riz,45.28819437968543,26.37052944719204,1098.0382501312524,46.19798080951925,7.007736658686539,17.488397531060727,384.3302060059132,96.6444972666606,117,Sécheresse,1602.1407602354077,33,Élevée,3.134151841817492,Non Optimisé
98,Bénin,Mil,13.241716174645909,23.007233982700452,1046.6542227054715,55.79507835453726,5.484930988401661,86.06397882814537,425.0611370450855,64.25363305327011,93,Sécheresse,625.5491484265094,34,Faible,2.350036796102606,Moyennement Optimisé
99,Burkina Faso,Cacao,8.7003185384495,28.66382488896284,1252.870170532403,54.45617672734225,7.755833711117315,46.349103152509066,414.4229437602309,199.30619439549875,134,Aucune,689.3644511548029,25,Faible,5.50622743972253,Optimisé
100,Burkina Faso,Mil,7.503793921680933,30.27972164245,550.4877289287385,31.755854112930955,6.870070822546966,96.88477515280094,122.11209745921823,139.33510034965758,115,Aucune,1211.7503633058104,43,Élevée,3.0071428509585982,Non Optimisé
101,Togo,Riz,8.16653949803769,21.040392279475373,504.1391335260881,37.0671300304507,7.239149624041074,168.54015644376122,40.58099368651952,120.51267111549744,118,Aucune,1233.305164554691,2,Faible,3.5895070900958066,Non Optimisé
102,Nigeria,Cacao,43.54144429730176,35.98159904992917,1275.6778442261589,50.04594620141054,5.114708332975985,188.3430222087695,14.567299827671798,135.30566940338605,82,Vents violents,1753.9116287217007,24,Élevée,4.875366278483086,Optimisé
103,Sénégal,Manioc,31.18045769654115,34.74886364113538,1273.4273403405716,39.936998712196825,7.390437071255791,76.0781447351488,11.99714300398136,160.23242613644192,114,Sécheresse,156.17146001766463,45,Élevée,3.10461527154753,Moyennement Optimisé
104,Nigeria,Manioc,21.32602097621968,30.23590782124935,523.4763281848263,27.802526459682248,4.711892025052743,123.8115557961324,255.4959880641481,17.110630773350486,175,Sécheresse,1855.4243172431136,6,Faible,1.3069026347765504,Non Optimisé
105,Sénégal,Riz,43.40352629918172,23.71927594704677,772.3514434837371,57.51926669082194,5.783782893617191,47.15408878808256,100.11433772434324,47.97862460823761,84,Inondation,1750.3449385008896,39,Élevée,3.9321136574018416,Non Optimisé
106,Nigeria,Mil,15.252422140950952,38.53162531034363,787.1750307539495,59.886458428757365,6.222196112031667,152.39663559440615,435.517687849388,16.947413687594537,177,Aucune,1063.4458497346434,36,Faible,1.193522389402756,Non Optimisé
107,Mali,Coton,46.42908309841175,35.88350341003117,867.2513517084457,56.65185592713069,4.880500825527857,181.31559177651607,82.0288042729479,67.11580356863584,135,Sécheresse,319.7813553249796,3,Élevée,2.2705959317129327,Moyennement Optimisé
108,Burkina Faso,Mil,38.06341602415311,24.67426678900169,1287.3449155319645,27.28502719821105,6.736897204005272,95.25118462974004,335.4474543203866,154.18703562164507,146,Sécheresse,1278.831599070577,7,Moyenne,1.127265122690952,Non Optimisé
109,Nigeria,Manioc,1.5186799212834892,34.719723969180855,984.4028204651676,22.11642901352085,5.863755444686914,174.44473561655803,459.00538328988256,86.66924328543509,156,Sécheresse,1278.6415944749244,22,Élevée,5.578537641929427,Optimisé
110,Mali,Coton,23.400343131948425,22.0273002178236,873.6746911409442,34.65627219977233,5.041140855627384,196.7625154378724,482.4072803714246,142.33069915208324,101,Aucune,269.6623813549818,30,Moyenne,0.9009224351375892,Non Optimisé
111,Ghana,Cacao,42.20211380870712,22.36890226699812,576.3303984231053,49.240138527130014,5.641862721608543,121.6173345326256,429.453093399065,68.07892267359338,144,Vents violents,1871.7933976114168,12,Faible,3.6932584761730953,Non Optimisé
112,Sénégal,Mil,20.109146363682555,28.891788500154306,252.52824500493944,23.5069048094325,6.820981263361691,112.13337033413222,102.2103804503074,196.66258529425068,68,Vents violents,1292.5690982631004,45,Moyenne,5.839832616969741,Optimisé
113,Mali,Maïs,49.363614298671216,34.03452234240133,1393.5453575783897,30.33004261288237,5.401263806913436,76.2878319756944,264.69238773914094,27.296052129197275,100,Sécheresse,1130.8624079729022,33,Faible,2.2084196712834743,Non Optimisé
114,Burkina Faso,Maïs,42.40598119690869,38.345967605147614,1131.0694054146684,17.57155559052547,6.381081407169799,157.2852492409091,92.28364151910829,119.28087921309609,73,Vents violents,1198.7573762239526,9,Moyenne,4.403673600545275,Optimisé
115,Bénin,Maïs,37.77602961239957,39.41977207989622,296.7255564143314,45.079727355350855,7.261666911568517,162.9667453534533,299.0327106887096,124.22678947171414,121,Aucune,1104.0391439940915,27,Moyenne,3.475946204759413,Non Optimisé
116,Ghana,Maïs,7.207627561872427,33.83817643579434,586.8091635671879,46.87031061722922,6.945356959547501,2.019385306290556,119.56915845361505,148.69155187614032,150,Sécheresse,274.433632151106,6,Élevée,1.9807932620070463,Non Optimisé
117,Togo,Coton,5.8393884019646025,35.664013350843376,1041.1521360620377,34.77942128792972,7.556294922818449,50.46823987904241,165.05132381692772,12.155168252014366,68,Aucune,1557.9805539137938,21,Élevée,4.815276510142707,Optimisé
